"HDI Rank","Country","2010","","2011","","2012","","2013","","2014","","2015","","2016","","2017","","2018","","2019",""
"181"," Mozambique","45.4","","29.0","","32.8","","29.5","","34.4","","33.0","","32.7","","32.7","","30.8","","30.7",""
"147"," Myanmar","..","","..","","..","","..","","..","","..","","..","","19.4","","23.3","","..",""
"130"," Namibia","44.3","","43.5","","43.6","","43.6","","43.6","","35.3","","34.7","","34.8","","35.3","","35.3",""
"142"," Nepal","31.8","","34.3","","34.2","","28.7","","26.7","","27.1","","26.1","","25.5","","25.8","","25.9",""
"8"," Netherlands","8.2","","7.0","","6.9","","6.7","","6.7","","6.9","","7.4","","7.9","","6.8","","7.0",""
"14"," New Zealand","..","","..","","..","","..","","..","","..","","..","","7.7","","9.2","","7.7",""
"128"," Nicaragua","24.6","","27.5","","27.5","","26.4","","24.0","","25.8","","24.0","","22.8","","22.9","","23.5",""
"189"," Niger","33.8","","34.0","","34.3","","32.5","","29.3","","28.2","","28.0","","29.3","","27.9","","27.9",""
"161"," Nigeria","41.7","","39.2","","41.4","","40.3","","37.9","","37.8","","36.9","","34.7","","34.6","","35.4",""
"82"," North Macedonia","16.7","","16.5","","14.7","","13.6","","16.7","","16.7","","16.3","","12.6","","13.1","","12.0",""
"1"," Norway","6.6","","5.6","","6.4","","5.5","","5.4","","5.5","","7.6","","8.1","","6.8","","6.1",""
"60"," Oman","..","","..","","..","","..","","..","","..","","..","","..","","13.2","","13.2",""
"154"," Pakistan","31.4","","31.4","","31.0","","30.0","","30.0","","31.0","","30.3","","31.1","","31.2","","31.1",""
"115"," Palestine, State of","..","","..","","..","","11.7","","14.9","","15.1","","14.8","","14.9","","13.6","","13.4",""
"57"," Panama","28.3","","24.6","","24.7","","22.1","","22.5","","22.0","","20.7","","21.1","","21.2","","21.1",""
"155"," Papua New Guinea","..","","..","","..","","..","","..","","..","","..","","..","","..","","29.7",""
"103"," Paraguay","24.7","","24.0","","..","","24.0","","22.1","","24.3","","22.4","","25.5","","22.4","","23.5",""
"79"," Peru","30.7","","23.2","","24.3","","23.7","","23.4","","21.6","","20.0","","19.2","","19.3","","19.2",""
"107"," Philippines","18.9","","20.0","","20.0","","18.1","","18.1","","18.5","","17.9","","17.9","","18.1","","18.2",""
"35"," Poland","10.7","","9.7","","10.0","","9.9","","9.8","","9.5","","9.4","","9.0","","8.1","","7.6",""
"38"," Portugal","11.9","","10.2","","10.8","","10.1","","10.4","","10.3","","13.9","","13.5","","12.7","","11.9",""
"49"," Romania","12.1","","12.7","","12.6","","10.5","","10.4","","11.2","","11.7","","11.6","","11.1","","11.8",""
"52"," Russian Federation","11.5","","11.3","","..","","12.0","","10.5","","9.8","","9.6","","9.5","","9.8","","10.2",""
"160"," Rwanda","37.0","","35.8","","33.9","","33.2","","31.7","","31.9","","30.0","","30.1","","28.7","","28.7",""
"86"," Saint Lucia","..","","..","","..","","..","","15.9","","15.9","","15.7","","16.7","","17.1","","17.1",""
"135"," Sao Tome and Principe","..","","31.5","","31.8","","31.1","","24.7","","24.7","","19.9","","19.9","","16.8","","16.8",""
"168"," Senegal","36.1","","34.0","","33.1","","33.0","","34.5","","33.0","","31.8","","32.8","","32.6","","32.0",""
"64"," Serbia","10.7","","9.4","","9.5","","10.9","","10.1","","11.2","","15.0","","15.3","","11.1","","12.5",""
"67"," Seychelles","..","","..","","..","","..","","..","","..","","..","","..","","..","","15.8",""
"182"," Sierra Leone","39.3","","41.6","","41.6","","44.3","","41.8","","37.8","","36.4","","36.3","","35.6","","35.6",""
"11"," Singapore","..","","..","","..","","..","","..","","..","","..","","12.5","","13.4","","13.3",""
"39"," Slovakia","6.7","","5.6","","6.2","","6.3","","6.3","","6.1","","6.9","","6.8","","6.2","","6.2",""
"22"," Slovenia","6.9","","5.3","","5.8","","5.8","","5.9","","5.9","","5.6","","5.6","","4.8","","4.6",""
"151"," Solomon Islands","..","","..","","..","","23.8","","23.8","","23.8","","..","","..","","..","","..",""
"114"," South Africa","31.2","","..","","..","","..","","35.6","","34.7","","33.3","","33.2","","34.4","","34.0",""
"185"," South Sudan","..","","..","","..","","..","","..","","..","","..","","36.4","","36.1","","36.3",""
"25"," Spain","9.7","","9.0","","10.1","","10.9","","11.5","","10.5","","15.6","","15.4","","14.4","","13.4",""
"72"," Sri Lanka","17.1","","16.2","","15.0","","14.3","","11.6","","11.6","","11.3","","13.8","","12.1","","13.9",""
"170"," Sudan","..","","..","","..","","..","","..","","..","","36.3","","34.8","","34.6","","34.7",""
"97"," Suriname","24.4","","23.8","","22.9","","24.3","","23.9","","23.9","","22.4","","22.5","","22.8","","27.5",""
"7"," Sweden","6.8","","5.8","","6.2","","6.4","","6.6","","6.7","","7.1","","7.4","","6.7","","6.7",""
"2"," Switzerland","7.1","","7.0","","7.0","","7.7","","7.3","","8.6","","7.8","","7.8","","6.9","","6.9",""
"151"," Syrian Arab Republic","20.8","","20.5","","20.5","","21.1","","21.2","","21.8","","21.4","","..","","..","","..",""
"125"," Tajikistan","19.1","","17.6","","18.5","","19.1","","17.5","","15.2","","13.9","","13.5","","12.6","","12.6",""
"163"," Tanzania (United Republic of)","28.5","","28.7","","27.4","","27.0","","27.4","","25.5","","24.8","","24.9","","25.0","","25.0",""
"79"," Thailand","21.1","","21.4","","21.4","","20.7","","20.6","","20.8","","16.8","","15.7","","17.0","","16.9",""
